name,종별코드명,doctors,lon,lat
(재)일신기독교선교회 정관일신기독병원,병원,18,129.1774513,35.3197034
(재)천주교서울대교구유지재단 전진상의원,의원,2,126.9107378,37.4525764
(재)한국산업보건연구재단 서울DMC건강의원 포항분원,의원,1,129.4002373,35.9753328
(재)한국산업보건환경연구소부설우리의원,의원,2,127.0321182,37.7466927
(재)한국산업의학연구소 부설 나노메디의원,의원,2,126.8978236,37.4712439
(재)한국의학연구소 KMI경기의원,의원,29,127.0346348,37.2505455
(재)한국의학연구소 제주의원,의원,7,126.5597717,33.2836459
(재)한국의학연구소대구분사무소부설의원,의원,21,128.5939661,35.8614112
(재)한국의학연구소한국중부의원,의원,42,126.9761544,37.5695724
(재단법인)한국의학연구소광주의원,의원,21,126.848919,35.1521051
(주)LG화학부속의원,의원,1,127.6524013,34.8039602
(주)녹십자홀딩스부속의원,의원,1,127.1004266,37.3177715
(주)루트로닉부속의원,의원,0,126.8475968,37.6132816
(주)제이시스메디칼부속의원,의원,0,127.0211992,37.5125495
(주)포스코부속의원,의원,3,129.3875613,35.9953456
(주)하나은행부속의원,의원,1,126.9818658,37.5664918
(홍인의료소비자생활협동조합)우리현대의원,의원,1,127.2836943,37.2347125
000의원,의원,1,127.0224917,37.5076446
100년재생의원,의원,1,126.3979131,34.8058741
10년전당신의오늘의원,의원,1,127.0457468,37.5236241
111의원,의원,1,127.020708,37.5169652
123내과의원,의원,3,126.9248,35.1722489
123의원,의원,1,127.0650701,37.4977415
153신경외과의원,의원,1,126.7198133,37.4563267
153연세연합의원,의원,2,126.9314409,37.3872216
1삼성탑의원,의원,1,127.0357246,37.5626006
1신건우 이비인후과의원,의원,1,127.0802075,37.5870558
2010성형외과의원,의원,1,126.6386933,37.3892451
2030미라인외과의원,의원,1,126.8831213,35.1619341
2060오스킨성형외과의원,의원,2,127.0586131,37.5086361
2080연합피부과의원,의원,2,128.5918283,35.8887489
210정형외과의원,의원,4,126.8704851,37.5190001
21C프라자내과의원,의원,1,127.1322097,37.4407268
21성형외과의원,의원,3,127.025305,37.501747
21세기 중앙의원,의원,1,126.9981775,35.960418
21세기 충주제통의원,의원,1,127.9286723,36.9776815
21세기내과의원,의원,3,127.0789293,37.7957045
21세기내과의원,의원,3,128.6401431,35.8733292
21세기내과의원,의원,1,128.6718156,35.2359786
21세기마취통증의학과의원,의원,1,127.4565439,36.6349526
21세기미금의원,의원,4,127.1094943,37.3508865
21세기미소내과의원,의원,1,126.7145821,37.464163
21세기바른정형외과의원,의원,1,127.7068942,38.1040394
21세기병원,병원,5,127.9327068,37.3434884
21세기본튼튼의원,의원,2,127.9550891,37.3568544
21세기비뇨기과의원,의원,1,126.898576,35.1881955
21세기소아청소년과의원,의원,1,127.9282649,37.3469332
21세기연세의원,의원,3,127.1077021,37.3669303
21세기연합소아과의원,의원,2,128.6401431,35.8733292
21세기연합정형외과의원,의원,1,129.3715307,36.0631164
21세기영상의학과의원,의원,3,127.0296284,37.4926562
21세기외과의원,의원,1,127.0470399,37.2734756
21세기우리의원,의원,4,127.0733201,37.193149
21세기우리정형외과의원,의원,1,127.0733201,37.193149
21세기의원,의원,1,126.8633574,37.2964088
21세기의원,의원,4,127.1336651,37.3772883
21세기의원,의원,1,127.079453,37.794981
21세기정형외과의원,의원,1,127.0472936,37.7208747
21세기정형외과의원,의원,1,126.6245605,37.6551778
21세기정형외과의원,의원,2,128.6401431,35.8733292
21세기정형외과의원,의원,1,128.6718156,35.2359786
